id,brand,model,discipline,modelYear,priceText,productUrl,geometryKey
cannondale_synapse_carbon,Cannondale,Synapse Carbon 2 SmartSense,,,7499.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-2-smartsense,Synapse Carbon
cannondale_synapse_carbon,Cannondale,Synapse Carbon 1,,,8499.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-1,Synapse Carbon
cannondale_synapse_carbon,Cannondale,Synapse Carbon 2 LE,,,3600.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-2-le,Synapse Carbon
cannondale_synapse_carbon,Cannondale,Synapse Carbon 3 L,,,3325.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-3-l,Synapse Carbon
cannondale_synapse_carbon,Cannondale,Synapse Carbon 2 RLE,,,5550.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-2-rle,Synapse Carbon
cannondale_caad13,Cannondale,CAAD13 105 Di2,,,3700.0,https://www.cannondale.com/en-us/bikes/road/race/caad13/caad13-105-di2,CAAD13
cannondale_caad13,Cannondale,CAAD13 Disc 105,,,2325.0,https://www.cannondale.com/en-us/bikes/road/race/caad13/caad13-disc-105-c13321u,CAAD13
cannondale_caad_optimo,Cannondale,CAAD Optimo 3,,,1300.0,https://www.cannondale.com/en-us/bikes/road/race/caad-optimo/caad-optimo-3,CAAD Optimo
cannondale_topstone_alloy,Cannondale,Topstone 3,,,1599.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-alloy/topstone-3,Topstone Alloy
cannondale_topstone_alloy,Cannondale,Topstone 2 GRX - 2x,,,2199.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-alloy/topstone-2-grx-2x,Topstone Alloy
cannondale_topstone_alloy,Cannondale,Topstone 2 CUES - 1x,,,2199.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-alloy/topstone-2-cues-1x,Topstone Alloy
cannondale_topstone_alloy,Cannondale,Topstone 2,,,2000.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-alloy/topstone-2-c15702u,Topstone Alloy
